year,month,births, deaths,migration,population
1972,1,5836,1810,-4088,2865100
1972,2,5394,1631,-4040,2865038
1972,3,5739,1709,-3992,2864761
1972,4,5374,1537,-3944,2864800
1972,5,5583,1572,-3895,2864693
1972,6,5190,1525,-3847,2864809
1972,7,5514,1564,-3799,2864626
1972,8,5719,1455,-3751,2864777
1972,9,6371,1489,-3703,2865290
1972,10,6252,1557,-3655,2866469
1972,11,5977,1592,-3607,2867509
1972,12,5965,1569,-3559,2868288
1973,1,5643,1811,-3510,2869125
1973,2,5222,1613,-3461,2869447
1973,3,5675,1718,-3410,2869594
1973,4,5333,1514,-3355,2870142
1973,5,5693,1511,-3295,2870606
1973,6,5352,1577,-3230,2871493
1973,7,5621,1629,-3158,2872038
1973,8,5737,1650,-3078,2872872
1973,9,6247,1490,-2989,2873881
1973,10,6439,1511,-2889,2875649
1973,11,5914,1503,-2779,2877688
1973,12,5945,1730,-2655,2879320
1974,1,5846,1702,-2519,2880880
1974,2,5284,1470,-2368,2882505
1974,3,5601,1705,-2205,2883951
1974,4,5078,1621,-2028,2885642
1974,5,5759,1788,-1837,2887072
1974,6,5339,1677,-1634,2889205
1974,7,5588,1596,-1418,2891233
1974,8,6213,1520,-1189,2893807
1974,9,6808,1541,-948,2897310
1974,10,6550,1554,-694,2901629
1974,11,6224,1607,-428,2905931
1974,12,5792,1706,-149,2910120
1975,1,5888,1831,140,2914057
1975,2,5117,1509,436,2918254
1975,3,5462,1613,732,2922298
1975,4,5281,1489,1022,2926879
1975,5,5525,1646,1300,2931693
1975,6,5371,1556,1560,2936872
1975,7,5591,1572,1796,2942246
1975,8,6142,1536,2002,2948061
1975,9,6456,1503,2172,2954669
1975,10,6673,1570,2300,2961794
1975,11,6205,1527,2381,2969197
1975,12,5980,1717,2407,2976256
1976,1,5879,1668,2375,2982926
1976,2,5472,1726,2292,2989512
1976,3,5659,2148,2163,2995550
1976,4,5423,1676,1997,3001224
1976,5,5789,1626,1801,3006967
1976,6,5686,1553,1583,3012931
1976,7,5906,1606,1351,3018648
1976,8,6484,1555,1111,3024298
1976,9,6972,1524,872,3030338
1976,10,6894,1563,641,3036659
1976,11,6370,1614,426,3042631
1976,12,6349,1629,234,3047813
1977,1,6445,1592,71,3052767
1977,2,5493,1422,-64,3057691
1977,3,6159,1625,-176,3061698
1977,4,5876,1498,-267,3066056
1977,5,5946,1619,-340,3070168
1977,6,5709,1616,-399,3074155
1977,7,6037,1617,-448,3077849
1977,8,6427,1627,-489,3081821
1977,9,6978,1621,-527,3086131
1977,10,6967,1767,-564,3090962
1977,11,6633,1794,-603,3095598
1977,12,6481,2079,-649,3099834
1978,1,6348,1799,-703,3103587
1978,2,5779,1552,-765,3107433
1978,3,6208,1668,-832,3110895
1978,4,5731,1584,-902,3114603
1978,5,6048,1762,-974,3117848
1978,6,5547,1560,-1045,3121160
1978,7,6091,1686,-1113,3124101
1978,8,6303,1664,-1177,3127393
1978,9,6860,1574,-1233,3130855
1978,10,7002,1603,-1281,3134908
1978,11,6681,1658,-1317,3139026
1978,12,6468,1763,-1341,3142732
1979,1,5991,1830,-1350,3146096
1979,2,5272,1621,-1345,3148907
1979,3,5662,1727,-1328,3151213
1979,4,5401,1728,-1300,3153820
1979,5,5848,1628,-1262,3156193
1979,6,5735,1683,-1216,3159151
1979,7,6246,1651,-1164,3161986
1979,8,6394,1715,-1105,3165417
1979,9,6807,1686,-1043,3168991
1979,10,6956,1712,-978,3173069
1979,11,6687,1669,-911,3177335
1979,12,6782,1740,-845,3181442
1980,1,6261,1848,-779,3185639
1980,2,5594,1613,-716,3189273
1980,3,5669,1699,-656,3192538
1980,4,5400,1561,-599,3195852
1980,5,5676,1758,-548,3199092
1980,6,5666,1708,-502,3202462
1980,7,5854,1728,-462,3205918
1980,8,6223,1686,-430,3209582
1980,9,6944,1636,-406,3213689
1980,10,6910,1725,-390,3218592
1980,11,6320,1726,-385,3223386
1980,12,6543,1792,-390,3227595
1981,1,6033,1986,-407,3231956
1981,2,5082,1682,-433,3235597
1981,3,5481,1872,-469,3238563
1981,4,5460,1682,-512,3241703
1981,5,5618,1754,-561,3244970
1981,6,5477,1662,-615,3248273
1981,7,5950,1823,-672,3251473
1981,8,6225,1720,-732,3254928
1981,9,6803,1698,-792,3258701
1981,10,6668,1731,-852,3263014
1981,11,6300,1711,-910,3267098
1981,12,6268,1876,-965,3270777
1982,1,6068,1931,-1016,3274204
1982,2,5192,1679,-1062,3277326
1982,3,5736,1853,-1104,3279777
1982,4,5307,1628,-1143,3282555
1982,5,5321,1844,-1179,3285091
1982,6,5188,1769,-1212,3287389
1982,7,5616,1810,-1242,3289597
1982,8,5885,1726,-1270,3292161
1982,9,6183,1706,-1296,3295050
1982,10,6390,1804,-1321,3298231
1982,11,6131,1814,-1344,3301496
1982,12,6319,1958,-1367,3304469
1983,1,5716,2012,-1389,3307463
1983,2,5105,1718,-1409,3309778
1983,3,5309,1825,-1429,3311756
1983,4,5014,1674,-1446,3313811
1983,5,5257,1725,-1460,3315705
1983,6,5113,1888,-1472,3317777
1983,7,5336,1863,-1479,3319530
1983,8,5803,1770,-1483,3321524
1983,9,6131,1719,-1482,3324074
1983,10,5946,1726,-1475,3327004
1983,11,5578,1728,-1463,3329749
1983,12,5434,1850,-1445,3332136
1984,1,5325,1846,-1420,3334275
1984,2,4773,1700,-1389,3336334
1984,3,4945,1824,-1354,3338018
1984,4,4609,1744,-1315,3339785
1984,5,4922,1730,-1274,3341335
1984,6,4907,1811,-1232,3343252
1984,7,5054,1749,-1190,3345116
1984,8,5579,1780,-1149,3347231
1984,9,5735,1743,-1110,3349880
1984,10,5907,1888,-1075,3352762
1984,11,5749,1845,-1044,3355706
1984,12,5816,2068,-1018,3358567
1985,1,5554,2213,-999,3361297
1985,2,4872,1961,-986,3363639
1985,3,5119,1917,-978,3365565
1985,4,4900,1846,-974,3367789
1985,5,5016,1966,-975,3369869
1985,6,4738,1906,-979,3371944
1985,7,5122,1889,-985,3373797
1985,8,5542,1881,-993,3376046
1985,9,5825,1817,-1002,3378714
1985,10,5878,1965,-1011,3381720
1985,11,5390,1776,-1020,3384623
1985,12,5673,2057,-1028,3387217
1986,1,5412,2156,-1034,3389805
1986,2,4819,1886,-1039,3392027
1986,3,4814,1914,-1043,3393921
1986,4,4675,1926,-1046,3395779
1986,5,4867,1969,-1049,3397482
1986,6,4696,1794,-1051,3399331
1986,7,5282,1954,-1055,3401182
1986,8,5607,1889,-1058,3403455
1986,9,6024,1861,-1063,3406115
1986,10,5896,2026,-1069,3409215
1986,11,5643,1900,-1077,3412015
1986,12,5816,2111,-1087,3414681
1987,1,5277,2116,-1100,3417299
1987,2,4761,1866,-1113,3419360
1987,3,5193,2036,-1126,3421142
1987,4,4932,1948,-1138,3423173
1987,5,4968,2037,-1147,3425019
1987,6,4912,1912,-1153,3426803
1987,7,5287,2024,-1153,3428650
1987,8,5520,2121,-1147,3430759
1987,9,6092,2015,-1133,3433011
1987,10,5934,1931,-1111,3435955
1987,11,5689,1922,-1078,3438847
1987,12,5819,2024,-1033,3441537
1988,1,5152,2184,-977,3444298
1988,2,4679,2087,-910,3446290
1988,3,5163,2229,-836,3447972
1988,4,4824,2047,-757,3450070
1988,5,4890,2217,-675,3452090
1988,6,4906,2114,-594,3454088
1988,7,5070,2104,-515,3456286
1988,8,5530,2028,-442,3458736
1988,9,6020,1960,-377,3461796
1988,10,6162,2031,-322,3465480
1988,11,5782,1943,-281,3469288
1988,12,5903,2175,-255,3472847
1989,1,5480,2406,-246,3476320
1989,2,4540,2028,-255,3479148
1989,3,5225,2326,-278,3481405
1989,4,5021,2144,-314,3484026
1989,5,5317,2121,-361,3486590
1989,6,5206,2107,-419,3489424
1989,7,5479,2082,-484,3492105
1989,8,5963,2036,-555,3495018
1989,9,6332,2186,-631,3498390
1989,10,6248,2150,-709,3501906
1989,11,5887,2091,-788,3505295
1989,12,5994,2310,-867,3508303
1990,1,5829,2437,-943,3511120
1990,2,4954,2052,-1016,3513569
1990,3,5368,2211,-1085,3515455
1990,4,5008,2066,-1151,3517527
1990,5,5160,2209,-1211,3519319
1990,6,5133,2136,-1266,3521059
1990,7,5366,2148,-1315,3522790
1990,8,5869,2176,-1358,3524692
1990,9,5902,2060,-1394,3527027
1990,10,6092,2160,-1422,3529476
1990,11,5991,2194,-1442,3531986
1990,12,5883,2299,-1453,3534341
1991,1,5667,2315,-1455,3536472
1991,2,4809,2003,-1449,3538369
1991,3,4983,2264,-1436,3539727
1991,4,5021,2242,-1416,3541010
1991,5,5039,2180,-1392,3542373
1991,6,4698,2346,-1363,3543840
1991,7,5224,2164,-1331,3544830
1991,8,5541,2148,-1298,3546558
1991,9,6072,2168,-1263,3548653
1991,10,6011,2063,-1229,3551294
1991,11,5650,2141,-1196,3554013
1991,12,5801,2293,-1165,3556326
1992,1,5480,2431,-1137,3558669
1992,2,4851,2429,-1113,3560580
1992,3,4986,2305,-1091,3561890
1992,4,4805,2164,-1071,3563480
1992,5,4772,2244,-1054,3565050
1992,6,4882,2171,-1038,3566524
1992,7,5249,2212,-1024,3568197
1992,8,5648,2276,-1011,3570210
1992,9,6231,2093,-1000,3572570
1992,10,6163,2287,-988,3575709
1992,11,5576,2312,-978,3578596
1992,12,5838,2471,-967,3580882
1993,1,5435,2740,-956,3583282
1993,2,4830,2334,-945,3585021
1993,3,5229,2587,-934,3586572
1993,4,4932,2313,-923,3588280
1993,5,5052,2494,-911,3589977
1993,6,5072,2425,-899,3591624
1993,7,5198,2318,-888,3593371
1993,8,5712,2234,-876,3595363
1993,9,6126,2171,-864,3597965
1993,10,5972,2307,-853,3601056
1993,11,5748,2180,-841,3603868
1993,12,5936,2387,-829,3606595
1994,1,5516,2533,-818,3609315
1994,2,4734,2347,-806,3611480
1994,3,5284,2455,-794,3613061
1994,4,4787,2200,-782,3615096
1994,5,5058,2339,-768,3616902
1994,6,5055,2314,-755,3618852
1994,7,5155,2397,-740,3620839
1994,8,5772,2432,-724,3622857
1994,9,5873,2190,-706,3625473
1994,10,5747,2291,-687,3628450
1994,11,5673,2342,-667,3631218
1994,12,5671,2602,-645,3633882
1995,1,5419,2962,-620,3636307
1995,2,4675,2412,-594,3638143
1995,3,5155,2548,-567,3639812
1995,4,4811,2395,-538,3641852
1995,5,5155,2360,-509,3643730
1995,6,4969,2429,-480,3646016
1995,7,5070,2528,-450,3648076
1995,8,5543,2536,-421,3650167
1995,9,5555,2500,-393,3652753
1995,10,5920,2623,-365,3655415
1995,11,5507,2415,-339,3658346
1995,12,5739,2488,-315,3661099
1996,1,5390,2540,-292,3664035
1996,2,4952,2406,-272,3666593
1996,3,4897,2516,-253,3668868
1996,4,4521,2283,-237,3670995
1996,5,4858,2526,-224,3672996
1996,6,4813,2385,-212,3675104
1996,7,5182,2509,-204,3677320
1996,8,5601,2557,-197,3679789
1996,9,5929,2556,-194,3682636
1996,10,5816,2493,-193,3685815
1996,11,5452,2415,-195,3688945
1996,12,5848,2684,-200,3691786
1997,1,5453,2671,-208,3694750
1997,2,4809,2469,-218,3697325
1997,3,5110,2729,-229,3699447
1997,4,4770,2559,-240,3701599
1997,5,4979,2441,-250,3703570
1997,6,4958,2379,-259,3705858
1997,7,5171,2460,-265,3708178
1997,8,5655,2307,-267,3710624
1997,9,5941,2298,-265,3713704
1997,10,5923,2205,-258,3717082
1997,11,5591,2238,-244,3720542
1997,12,5806,2364,-223,3723651
1998,1,5139,2518,-193,3726871
1998,2,4532,2323,-157,3729298
1998,3,4816,2442,-115,3731350
1998,4,4496,2372,-69,3733609
1998,5,4693,2363,-21,3735663
1998,6,4673,2397,30,3737973
1998,7,4873,2408,80,3740279
1998,8,5329,2309,130,3742824
1998,9,5599,2604,177,3745974
1998,10,5582,2888,220,3749146
1998,11,5269,2746,258,3752060
1998,12,5472,2620,289,3754840
1999,1,4883,2572,312,3757981
1999,2,4251,2430,327,3760604
1999,3,4762,2546,332,3762752
1999,4,4369,2421,327,3765300
1999,5,4303,2368,311,3767574
1999,6,4664,2314,283,3769820
1999,7,4770,2546,243,3772453
1999,8,5271,2473,189,3774920
1999,9,5863,2349,122,3777907
1999,10,5555,2341,39,3781543
1999,11,5393,2363,-59,3784796
1999,12,5600,2422,-173,3787767
2000,1,5011,2780,-304,3790772
2000,2,4454,2495,-448,3792699
2000,3,4818,2627,-602,3794210
2000,4,4276,2428,-763,3795799
2000,5,4597,2411,-927,3796884
2000,6,4529,2268,-1091,3798142
2000,7,4684,2280,-1251,3799312
2000,8,5265,2296,-1404,3800465
2000,9,5584,2180,-1545,3802031
2000,10,5515,2333,-1673,3803889
2000,11,5434,2238,-1782,3805399
2000,12,5293,2214,-1870,3806813
2001,1,4839,2459,-1935,3808021
2001,2,4284,2305,-1977,3808466
2001,3,4637,2487,-2000,3808468
2001,4,4229,2318,-2007,3808618
2001,5,4529,2376,-2000,3808522
2001,6,4234,2315,-1982,3808675
2001,7,4529,2396,-1956,3808611
2001,8,5057,2301,-1925,3808788
2001,9,4941,2441,-1891,3809619
2001,10,5111,2589,-1857,3810228
2001,11,4779,2393,-1826,3810893
2001,12,4814,2414,-1802,3811452
2002,1,4641,2506,-1784,3812051
2002,2,3983,2278,-1775,3812401
2002,3,4055,2507,-1771,3812332
2002,4,4181,2253,-1773,3812108
2002,5,4178,2369,-1779,3812263
2002,6,3993,2244,-1788,3812293
2002,7,4237,2339,-1798,3812255
2002,8,4763,2375,-1809,3812355
2002,9,4721,2298,-1820,3812933
2002,10,4876,2270,-1829,3813536
2002,11,4583,2336,-1836,3814313
2002,12,4660,2323,-1838,3814724
2003,1,4489,2530,-1836,3815222
2003,2,3886,2212,-1831,3815345
2003,3,3911,2407,-1822,3815189
2003,4,4011,2245,-1811,3814871
2003,5,4011,2410,-1798,3814826
2003,6,3755,2344,-1786,3814629
2003,7,4175,2342,-1775,3814254
2003,8,4374,2306,-1765,3814312
2003,9,4703,2366,-1759,3814615
2003,10,4602,2297,-1756,3815193
2003,11,4224,2266,-1757,3815742
2003,12,4662,2631,-1765,3815943
2004,1,4161,2685,-1779,3816209
2004,2,3805,2513,-1799,3815907
2004,3,4198,2499,-1825,3815400
2004,4,3900,2398,-1856,3815274
2004,5,3866,2398,-1893,3814920
2004,6,3939,2439,-1935,3814495
2004,7,4037,2324,-1980,3814060
2004,8,4609,2276,-2030,3813793
2004,9,4813,2189,-2084,3814095
2004,10,4605,2291,-2141,3814635
2004,11,4554,2344,-2201,3814809
2004,12,4752,2710,-2263,3814818
2005,1,4159,2947,-2327,3814597
2005,2,3723,2569,-2393,3813482
2005,3,4081,2590,-2461,3812242
2005,4,3793,2395,-2530,3811272
2005,5,3894,2469,-2599,3810141
2005,6,4007,2440,-2669,3808967
2005,7,4021,2355,-2738,3807865
2005,8,4733,2392,-2807,3806793
2005,9,4758,2383,-2875,3806327
2005,10,4473,2362,-2942,3805827
2005,11,4563,2340,-3008,3804996
2005,12,4482,2460,-3071,3804211
2006,1,3869,2387,-3133,3803162
2006,2,3624,2259,-3191,3801511
2006,3,3887,2533,-3246,3799685
2006,4,3438,2473,-3298,3797793
2006,5,3975,2354,-3346,3795460
2006,6,3794,2237,-3389,3793735
2006,7,3786,2317,-3427,3791903
2006,8,4651,2427,-3459,3789946
2006,9,4590,2334,-3486,3788710
2006,10,4500,2408,-3507,3787480
2006,11,4305,2427,-3521,3786065
2006,12,4325,2433,-3527,3784423
2007,1,4088,2552,-3526,3782788
2007,2,3511,2228,-3519,3780797
2007,3,3713,2513,-3506,3778561
2007,4,3472,2536,-3488,3776255
2007,5,3741,2592,-3467,3773703
2007,6,3496,2386,-3443,3771386
2007,7,3638,2383,-3417,3769053
2007,8,4387,2339,-3390,3766891
2007,9,4285,2290,-3364,3765549
2007,10,4317,2439,-3339,3764180
2007,11,4114,2428,-3316,3762719
2007,12,3986,2636,-3296,3761090
2008,1,3923,2621,-3280,3759143
2008,2,3470,2607,-3268,3757165
2008,3,3459,2504,-3257,3754760
2008,4,3464,2309,-3248,3752458
2008,5,3597,2444,-3239,3750365
2008,6,3496,2284,-3228,3748279
2008,7,3780,2341,-3216,3746263
2008,8,4217,2355,-3200,3744486
2008,9,4182,2278,-3181,3743148
2008,10,4115,2393,-3156,3741871
2008,11,3699,2436,-3125,3740437
2008,12,4287,2528,-3087,3738575
2009,1,3721,2496,-3041,3737247
2009,2,3332,2390,-2991,3735430
2009,3,3582,2583,-2938,3733382
2009,4,3487,2395,-2886,3731443
2009,5,3404,2550,-2838,3729649
2009,6,3423,2493,-2797,3727665
2009,7,3616,2541,-2767,3725798
2009,8,3894,2280,-2750,3724106
2009,9,4307,2225,-2749,3722970
2009,10,4004,2452,-2768,3722303
2009,11,3753,2352,-2810,3721087
2009,12,4307,2432,-2877,3719678
2010,1,3566,2392,-2972,3718675
2010,2,3239,2227,-3091,3716878
2010,3,3616,2495,-3230,3714798
2010,4,3084,2298,-3384,3712689
2010,5,3240,2449,-3550,3710091
2010,6,3310,2405,-3721,3707332
2010,7,3320,2478,-3895,3704516
2010,8,3730,2575,-4066,3701463
2010,9,3923,2281,-4230,3698552
2010,10,3717,2468,-4383,3695963
2010,11,3600,2512,-4520,3692829
2010,12,3858,2776,-4637,3689397
2011,1,3287,2728,-4729,3685842
2011,2,2987,2363,-4799,3681672
2011,3,3394,2770,-4847,3677497
2011,4,3030,2448,-4876,3673274
2011,5,3105,2477,-4887,3668980
2011,6,3355,2458,-4882,3664721
2011,7,3236,2468,-4863,3660736
2011,8,3773,2443,-4831,3656641
2011,9,3993,2359,-4789,3653140
2011,10,3624,2483,-4737,3649986
2011,11,3627,2360,-4679,3646390
2011,12,3722,2645,-4615,3642978
2012,1,3416,2619,-4547,3639440
2012,2,3056,2448,-4478,3635690
2012,3,3001,2575,-4410,3631820
2012,4,2837,2478,-4345,3627836
2012,5,3142,2379,-4286,3623850
2012,6,2946,2555,-4234,3620328
2012,7,3205,2446,-4192,3616485
2012,8,3512,2470,-4162,3613053
2012,9,3457,2454,-4146,3609933
2012,10,3683,2419,-4148,3606789
2012,11,3365,2455,-4168,3603906
2012,12,3354,2574,-4209,3600648
2013,1,3132,2578,-4273,3597219
2013,2,2773,2376,-4357,3593499
2013,3,2795,2705,-4456,3589539
2013,4,2881,2314,-4568,3585173
2013,5,3033,2399,-4688,3581172
2013,6,2768,2337,-4813,3577117
2013,7,3049,2485,-4939,3572735
2013,8,3088,2497,-5062,3568360
2013,9,3381,2469,-5179,3563888
2013,10,3401,2398,-5285,3559622
2013,11,3061,2268,-5377,3555340
2013,12,3218,2540,-5451,3550755
2014,1,3204,2484,-5505,3545982
2014,2,2686,2216,-5540,3541197
2014,3,2770,2489,-5559,3536126
2014,4,2686,2396,-5566,3530848
2014,5,2717,2479,-5561,3525572
2014,6,2530,2387,-5550,3520249
2014,7,2885,2420,-5534,3514842
2014,8,2921,2536,-5516,3509774
2014,9,3105,2495,-5499,3504643
2014,10,3058,2891,-5486,3499754
2014,11,2793,2649,-5480,3494434
2014,12,3140,2889,-5484,3489098
2015,1,2829,2744,-5499,3483865
2015,2,2415,2403,-5524,3478451
2015,3,2661,2427,-5557,3472939
2015,4,2449,2259,-5594,3467616
2015,5,2484,2340,-5635,3462212
2015,6,2306,2145,-5675,3456722
2015,7,2430,2382,-5713,3451208
2015,8,2455,2272,-5746,3445543
2015,9,3001,2258,-5772,3439980
2015,10,2775,2394,-5788,3434951
2015,11,2641,2268,-5792,3429544
2015,12,2790,2517,-5781,3424125
2016,1,2453,2743,-5754,3418618
2016,2,2299,2592,-5719,3412573
2016,3,2380,2455,-5683,3406561
2016,4,2232,2241,-5654,3400803
2016,5,2376,2312,-5641,3395140
2016,6,2349,2356,-5651,3389563
2016,7,2189,2457,-5694,3383905
2016,8,2473,2427,-5776,3377943
2016,9,2597,2368,-5907,3372213
2016,10,2287,2357,-6094,3366536
2016,11,2341,2484,-6345,3360372
2016,12,2350,2854,-6670,3353884
2017,1,2153,2894,-7070,3346710
2017,2,1865,2316,-7529,3338900
2017,3,2055,2495,-8024,3330920
2017,4,1939,2393,-8533,3322457
2017,5,2048,2393,-9034,3313470
2017,6,1993,2376,-9504,3304091
2017,7,1941,2377,-9921,3294204
2017,8,2103,2335,-10263,3283847
2017,9,2087,2940,-10507,3273352
2017,10,2188,3054,-10632,3261992
2017,11,2159,2685,-10614,3250494
2017,12,1864,2836,-10432,3239355
2018,1,1778,2846,-10069,3227951
2018,2,1575,2467,-9540,3216814
2018,3,1585,2667,-8862,3206382
2018,4,1608,2250,-8056,3196438
2018,5,1633,2397,-7141,3187739
2018,6,1675,2261,-6137,3179834
2018,7,1766,2388,-5063,3173111
2018,8,1990,2352,-3938,3167426
2018,9,1993,2250,-2781,3163127
2018,10,2053,2319,-1614,3160088
2018,11,1995,2384,-454,3158209
2018,12,1835,2700,679,3157366
2019,1,1861,2812,1766,3157179
2019,2,1593,2409,2798,3157994
2019,3,1663,2488,3765,3159976
2019,4,1596,2326,4658,3162915
2019,5,1698,2535,5469,3166844
2019,6,1521,2511,6189,3171476
2019,7,1816,2484,6808,3176675
2019,8,1715,2405,7318,3182815
2019,9,1799,2337,7710,3189443
2019,10,1837,2372,7975,3196616
2019,11,1677,2505,8104,3204056
2019,12,1660,2468,8088,3211332
2020,1,1658,2697,7922,3218612
2020,2,1445,2549,7615,3225496
2020,3,1523,2752,7180,3232007
2020,4,1504,2411,6629,3237958
2020,5,1577,2477,5976,3243680
2020,6,1461,2441,5233,3248756
2020,7,1611,2659,4414,3253010
2020,8,1696,2927,3530,3256375
2020,9,1781,2643,2595,3258674
2020,10,1664,2741,1621,3260407
2020,11,1512,2849,622,3260951
2020,12,1554,3007,-390,3260236
